headword,part(s) of speech,stars
article,noun,3
artificial,adj,2
artist,noun,3
artistic,adj,2
as,"adv,_conjunction,_preposition",3
ascend,verb,1
ascent,noun,1
ascertain,verb,1
ash,noun,2
ashamed,adj,2
ashore,adv,1
Asian,adj,1
Asian,noun,1
aside,adv,2
ask,verb,3
asleep,adj,2
aspect,noun,3
aspiration,noun,1
aspire,verb,1
aspirin,noun,1
assassination,noun,1
assault,noun,2
assault,verb,1
assemble,verb,2
assembly,noun,3
assert,verb,2
assertion,noun,1
assess,verb,2
assessment,noun,2
asset,noun,2
assign,verb,2
assignment,noun,2
assist,verb,3
assistance,noun,3
assistant,noun,2
assistant,adj,2
associate,verb,3
associate,noun,1
association,noun,3
assume,verb,3
assuming,conjunction,1
assumption,noun,2
assurance,noun,2
assure,verb,2
asthma,noun,1
astonish,verb,1
astonished,adj,1
astonishing,adj,1
astonishment,noun,1
astound,verb,1
astronaut,noun,1
astronomy,noun,1
asylum,noun,2
at,preposition,3
athlete,noun,1
athletic,adj,1
athletics,noun,1
atmosphere,noun,2
atmospheric,adj,1
atom,noun,2
atomic,adj,1
attach,verb,2
attached,adj,1
attachment,noun,2
attack,verb,3
attack,noun,3
attacker,noun,2
attain,verb,1
attempt,noun,3
attempt,verb,3
attempted,adj,1
attend,verb,3
attendance,noun,2
attendant,noun,1
attention,noun,3
attitude,noun,3
attorney,noun,1
attract,verb,3
attraction,noun,2
attractive,adj,3
attribute,verb,2
attribute,noun,1
auction,noun,1
audience,noun,3
audit,noun,1
audit,verb,1
audition,noun,1
auditor,noun,1
August,noun,3
aunt,noun,3
authentic,adj,1
author,noun,3
authority,noun,3
authorize,verb,1
automatic,adj,2
automatically,adv,2
autonomy,noun,1
autumn,noun,3
auxiliary,noun,1
availability,noun,2
available,adj,3
avenue,noun,2
average,noun,3
average,adj,3
average,verb,1
avoid,verb,3
await,verb,1
awake,adj,1
awake,verb,1
award,noun,3
award,verb,3
aware,adj,3
awareness,noun,2
away,adv,3
awe,noun,1
awful,adj,2
awfully,adv,1
awkward,adj,2
axe,noun,1
baby,noun,3
babysit,verb,1
babysitter,noun,1
back,adv,3
back,adj,3
back,noun,3
back,verb,3
backbone,noun,1
back_door,noun,1
backdrop,noun,1
background,noun,3
backing,noun,2
backup,noun,1
backward,adj,1
backwards,"adj,_adv",2
bacon,noun,1
bacteria,noun,2
bad,adj,3
badge,noun,1
badly,adv,3
bad-tempered,adj,1
bag,noun,3
baggage,noun,1
bail,noun,1
bake,verb,1
baker,noun,1
balance,noun,3
balance,verb,2
balanced,adj,1
balcony,noun,1
bald,adj,1
ball,noun,3
ballet,noun,1
balloon,noun,1
ballot,noun,1
ban,verb,2
ban,noun,2
banana,noun,1
band,noun,3
bandage,noun,1
bang,verb,1
bang,noun,1
banish,verb,1
bank,noun,3
bank,verb,1
bank_account,noun,1
banker,noun,1
bank_holiday,noun,1
banking,noun,2
bankrupt,adj,1
bankruptcy,noun,1
bar,noun,3
bar,verb,2
barbecue,noun,1
barbed_wire,noun,1
bare,adj,2
barely,adv,2
bargain,noun,2
bargain,verb,1
bark,verb,1
bark,noun,1
barn,noun,2
barrel,noun,2
barrier,noun,2
barrister,noun,1
base,noun,3
base,verb,3
baseball,noun,1
basement,noun,1
basic,adj,3
basically,adv,2
basin,noun,2
basis,noun,3
basket,noun,2
basketball,noun,1
bass,noun,1
bat,noun,2
batch,noun,1
bath,noun,3
bathe,verb,1
bathroom,noun,2
battered,adj,1
battery,noun,2
battle,noun,3
battle,verb,1
bay,noun,2
be,verb,3
beach,noun,3
beak,noun,1
beam,noun,2
beam,verb,1
bean,noun,2
bear,verb,3
bear,noun,2
beard,noun,1
bearing,noun,1
beast,noun,2
beat,verb,3
beat,noun,2
beating,noun,1
beautiful,adj,3
beauty,noun,3
because,conjunction,3
become,verb,3
bed,noun,3
bedroom,noun,3
bee,noun,2
beef,noun,2
beer,noun,3
before,"adv,_conjunction,_preposition",3
beforehand,adv,1
beg,verb,2
begin,verb,3
beginner,noun,1
beginning,noun,3
behalf,noun,2
behave,verb,2
behaviour,noun,3
behavioural,adj,1
behind,"adv,_preposition",3
being,noun,2
belief,noun,3
believe,verb,3
bell,noun,2
belly,noun,1
belong,verb,3
belongings,noun,1
below,"adv,_preposition",3
belt,noun,2
bench,noun,2
bend,verb,3
bend,noun,2
beneath,"adv,_preposition",3
beneficial,adj,2
beneficiary,noun,1
benefit,noun,3
benefit,verb,3
berry,noun,1
beside,preposition,3
besides,"adv,_preposition",2
best,adj,3
best,noun,3
best,adv,3
bet,verb,2
bet,noun,1
betray,verb,2
better,adj,3
better,adv,3
better,noun,3
between,"adv,_preposition",3
beware,verb,1
beyond,"adv,_preposition",3
bias,noun,2
bible,noun,2
bicycle,noun,2
bid,verb,2
bid,noun,2
