XrefEntry,Phrasal,XrefType,
devour,gobble down,synonym
devour,gobble up,synonym
die,pass away,synonym
die,pass on,synonym
dilute,water down,synonym
dim,go down,synonym
disappear,fade away,synonym
disappear,go away,synonym
disappoint,let down,synonym
discard,cast off,synonym
discard,throw away,synonym
discard,throw out,synonym
discern,make out,synonym
discharge,carry out,synonym
discount,factor out,synonym
discount,mark down,synonym
discover,sniff out,synonym
discover,spy out,synonym
discover,turn up,synonym
discuss,deal with,synonym
discuss,go into,synonym
disguise,dress up,synonym
disgust,gross out,synonym
disinherit,cut off,synonym
disintegrate,fall apart,synonym
dismantle,take apart,synonym
dismantle,take down,synonym
dismiss,boot out,synonym
dismiss,brush aside,synonym
dismiss,brush away,synonym
dismiss,brush off,synonym
dismiss,shrug off,synonym
dismiss,sweep aside,synonym
disparage,do down,synonym
dispatch,send off,synonym
dispatch,send off,synonym
display,lay out,synonym
display,show off,synonym
disregard,put aside,synonym
distinguish,make out,synonym
distinguish,mark off,synonym
distinguish,mark out,synonym
distinguish,set apart,synonym
distract,put off,synonym
distract,put off,synonym
distress,tear apart,synonym
distress,tear up,synonym
distribute,dish out,synonym
distribute,parcel out,synonym
distribute,pass out,synonym
disturb,break into,synonym
ditch,pack in,synonym
diversify,branch out,synonym
divide,break up,synonym
do,carry out,synonym
do,carry out,synonym
dock,put in,synonym
down,knock back,synonym
download,pull off,synonym
draft,call up,synonym
draft,draw up,synonym
draft,rough out,synonym
draw,pull in,synonym
drop,fall back,synonym
drop,take down,synonym
dry,rub down,synonym
dupe,take in,synonym
dwindle,tail off,synonym
earn,pick up,synonym
ease,smooth over,synonym
eavesdrop,listen in,synonym
ebb,go out,synonym
elect,put in,synonym
elicit,bring forth,synonym
elicit,call forth,synonym
eliminate,do away with,synonym
elude,shake off,synonym
elude,throw off,synonym
embarrass,show up,synonym
embellish,embroider on,synonym
emerge,come out,synonym
emerge,leak out,synonym
emit,give off,synonym
emit,give out,synonym
emit,let off,synonym
emit,let out,synonym
emit,pump out,synonym
emphasize,point up,synonym
empty,turn out,synonym
enact,act out,synonym
encounter,come across,synonym
encounter,come on,synonym
encounter,come upon,synonym
encounter,run into,synonym
encourage,cheer on,synonym
encourage,egg on,synonym
end,break up,synonym
end,run out,synonym
endure,live through,synonym
endure,ride out,synonym
energize,liven up,synonym
enhance,jazz up,synonym
enjoy,lap up,synonym
enlarge,blow up,synonym
enlist,join up,synonym
enter,come in,synonym
enter,come on,synonym
enter,go in,synonym
enter,go in for,synonym
enter,go into,synonym
enter,punch in,synonym
enter,put in for,synonym
entice,lead on,synonym
equalize,even up,synonym
equip,fit out,synonym
equip,fit up,synonym
equip,kit out,synonym
eradicate,root out,synonym
eradicate,stamp out,synonym
eradicate,wipe out,synonym
erase,rub out,synonym
erect,put up,synonym
erect,set up,synonym
erode,eat away,synonym
erode,eat into,synonym
erode,wear away,synonym
erupt,flare up,synonym
escape,get away,synonym
establish,carve out,synonym
establish,set up,synonym
establish,set up,synonym
establish,start up,synonym
evict,turn out,synonym
evoke,bring back,synonym
evoke,call up,synonym
evoke,conjure up,synonym
examine,look at,synonym
examine,pore over,synonym
exceed,go beyond,synonym
exchange,trade in,synonym
exclaim,burst out,synonym
exclude,count out,synonym
exclude,cut out,synonym
exclude,factor out,synonym
exclude,freeze out,synonym
exclude,keep out,synonym
exclude,rule out,synonym
excuse,let off,synonym
exhaust,finish off,synonym
exhaust,wear out,synonym
exhaust,wipe out,synonym
exit,log off,synonym
expand,broaden out,synonym
expand,broaden out,synonym
expel,drive out,synonym
expel,throw out,synonym
experience,come up against,synonym
experience,go through,synonym
explain,account for,synonym
explain,account for,synonym
explode,go off,synonym
explode,let off,synonym
exploit,capitalize on,synonym
expose,catch out,synonym
extend,add on,synonym
extend,add on to,synonym
extend,drag out,synonym
extend,spread out,synonym
extinguish,put out,synonym
extinguish,stamp out,synonym
extract,squeeze out,synonym
extract,winkle out,synonym
face,stand up to,synonym
fail,conk out,synonym
